date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-02,delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-02,delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-02,delhi,Amla,70,81 - 89,84 - 116,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-02,delhi,Ash gourd,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-02,delhi,Baby Corn,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-02,delhi,Banana Flower,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-02,delhi,Capsicum,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-02,delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-02,delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-02,delhi,Butter Beans,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-02,delhi,Broad Beans,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-02,delhi,Cabbage,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-02,delhi,Carrot,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-02,delhi,Cauliflower,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-02,delhi,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-02,delhi,Coconut,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-02,delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-02,delhi,Colocasia,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-02,delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-02,delhi,Corn,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-02,delhi,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-02,delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-02,delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-02,delhi,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-02,delhi,Brinjal,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-02,delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-02,delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-02,delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-02,delhi,French Beans,51,59 - 65,61 - 84,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-02,delhi,Garlic,156,179 - 198,187 - 257,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-02,delhi,Ginger,116,133 - 147,139 - 191,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-02,delhi,Onion Green,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-02,delhi,Green Peas,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-02,delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-02,delhi,Lemon (Lime),63,72 - 80,76 - 104,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-02,delhi,Mango Raw,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-02,delhi,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-02,delhi,Mushroom,91,105 - 116,109 - 150,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-02,delhi,Mustard Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-02,delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-02,delhi,Pumpkin,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-02,delhi,Radish,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-02,delhi,Ridge Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-02,delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-02,delhi,Snake Gourd,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-02,delhi,Sorrel Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-02,delhi,Spinach,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-02,delhi,Sweet Potato,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-03,delhi,Onion Big,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-03,delhi,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-03,delhi,Tomato,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-03,delhi,Green Chilli,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-03,delhi,Beetroot,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-03,delhi,Potato,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-03,delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-03,delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-03,delhi,Amla,70,81 - 89,84 - 116,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-03,delhi,Ash gourd,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-03,delhi,Baby Corn,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-03,delhi,Banana Flower,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-03,delhi,Capsicum,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-03,delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-03,delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-03,delhi,Butter Beans,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-03,delhi,Broad Beans,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-03,delhi,Cabbage,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-03,delhi,Carrot,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-03,delhi,Cauliflower,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-03,delhi,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-03,delhi,Coconut,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-03,delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-03,delhi,Colocasia,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-03,delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-03,delhi,Corn,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-03,delhi,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-03,delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-03,delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-03,delhi,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-03,delhi,Brinjal,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-03,delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-03,delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-03,delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-03,delhi,French Beans,51,59 - 65,61 - 84,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-03,delhi,Garlic,156,179 - 198,187 - 257,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-03,delhi,Ginger,116,133 - 147,139 - 191,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-03,delhi,Onion Green,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-03,delhi,Green Peas,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-03,delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-03,delhi,Lemon (Lime),63,72 - 80,76 - 104,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-03,delhi,Mango Raw,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-03,delhi,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-03,delhi,Mushroom,91,105 - 116,109 - 150,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-03,delhi,Mustard Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-03,delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-03,delhi,Pumpkin,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-03,delhi,Radish,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-03,delhi,Ridge Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-03,delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-03,delhi,Snake Gourd,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-03,delhi,Sorrel Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-03,delhi,Spinach,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-03,delhi,Sweet Potato,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-04,delhi,Onion Big,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-04,delhi,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-04,delhi,Tomato,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-04,delhi,Green Chilli,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-04,delhi,Beetroot,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-04,delhi,Potato,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-04,delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-04,delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-04,delhi,Amla,70,81 - 89,84 - 116,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-04,delhi,Ash gourd,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-04,delhi,Baby Corn,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-04,delhi,Banana Flower,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-04,delhi,Capsicum,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-04,delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-04,delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-04,delhi,Butter Beans,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-04,delhi,Broad Beans,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-04,delhi,Cabbage,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-04,delhi,Carrot,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-04,delhi,Cauliflower,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-04,delhi,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-04,delhi,Coconut,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-04,delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-04,delhi,Colocasia,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-04,delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-04,delhi,Corn,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-04,delhi,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-04,delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-04,delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-04,delhi,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-04,delhi,Brinjal,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-04,delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-04,delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-04,delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-04,delhi,French Beans,51,59 - 65,61 - 84,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-04,delhi,Garlic,156,179 - 198,187 - 257,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-04,delhi,Ginger,116,133 - 147,139 - 191,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
